Lake,Year,Species,GE
ARL,2009,Ao,4.35327
ARL,2009,Ao,4.49064
ARL,2009,Ao,2.21046
ARL,2009,Ao,6.99865
ARL,2009,Ao,0.631282
ARL,2009,Ao,0.846347
ARL,2009,Ao,15.0616
ARL,2009,Ao,0.110406
ARL,2009,Ao,0.622698
ARL,2009,Ao,9.36667
ARL,2009,Ao,0.600734
ARL,2009,Ao,3.92176
ARL,2009,Ao,463.247
ARL,2009,Ao,43.0594
ARL,2009,Ao,0.337
ARL,2009,Ao,43.1397
ARL,2009,Ao,463.821
ARL,2009,Ao,0.214616
ARL,2009,Ao,325.871
ARL,2009,Ao,14.7552
ARL,2009,Ao,41.4281
ARL,2009,Ao,6.21016
ARL,2009,Ao,2479.01
ARL,2009,Ao,0.743204
ARL,2009,Ao,0.0781135
ARL,2009,Ao,2748.65
ARL,2009,Ao,2722.44
ARL,2009,Ao,95.9444
ARL,2009,Ao,5.86329
ARL,2009,Ao,0
ARL,2009,Ao,0
