ID ,Lake,Species ,Developmental Stage ,Date Collected ,Remarks ,Rapid test result,Extracted,qPCR File,GE
PNP17 146,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,189.6084404
PNP17 148,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,330.5064392
PNP17 149,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,10.07997036
PNP17 150,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,967.0764923
PNP17 151,Arlet,Bufo bufo,,09/08/2017,,?,12/12/2018,,812.8791809
PNP17 152,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,78.19043159
PNP17 153,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,0.864830837
PNP17 154,Arlet,Alytes obstetricans,Young Of The Year ,09/08/2017,,?,12/12/2018,,28.53441715
PNP17 155,Arlet,Rana temporaria,,09/08/2017,,?,12/12/2018,,129.9357224
PNP17 156,Arlet,,,09/08/2017,,?,12/12/2018,,2.61244297
PNP17 157,Arlet,,,09/08/2017,,?,12/12/2018,,2.140504122
PNP17 158,Arlet,,,09/08/2017,,?,12/12/2018,,17.69909859
PNP17 159,Arlet,,,09/08/2017,,?,12/12/2018,,0.854174793
PNP17 160,Arlet,,,09/08/2017,,?,12/12/2018,,5.589901209
PNP17 161,Arlet,,,09/08/2017,,?,12/12/2018,,1.186022609
PNP17 162,Arlet,,,09/08/2017,,?,12/12/2018,,3.664003611
PNP17 163,Arlet,,,09/08/2017,,?,12/12/2018,,0.596659705
PNP17 164,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,
PNP17 165,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,
PNP17 166,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,
PNP17 167,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,
PNP17 168,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,0.761756301
PNP17 169,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,0.619266368
PNP17 170,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,12/12/2018,,0.106808925
PNP17 171,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 172,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 173,Arlet,Bufo bufo,Metamorphs,09/08/2017,,,13/12/2018,,0.389623716
PNP17 174,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,,,
PNP17 175,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 176,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 177,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,0.504431203
PNP17 178,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 179,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,0.175219048
PNP17 180,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 181,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 182,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 183,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 184,Arlet,Rana temporaria,Metamorphs,09/08/2017,,,13/12/2018,,
PNP17 262,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,372.1574402
PNP17 263,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,169.7562027
PNP17 264,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,313.3416176
PNP17 265,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,57.50484467
PNP17 266,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,363.1649017
PNP17 267,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,59.36975479
PNP17 268,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,82.69304276
PNP17 269,Arlet,Alytes obstetricans,Juveniles,17/08/2017,,,13/12/2018,,310.0246048
PNP17 270,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,1.327073574
PNP17 271,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,1.408848912
PNP17 272,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,1.029006466
PNP17 273,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,0.128891999
PNP17 274,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,0.621693768
PNP17 275,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,0.933201388
PNP17 276,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,1.21409595
PNP17 277,Arlet,Rana temporaria,Juveniles,17/08/2017,,,13/12/2018,,1.485409439
PNP17 278,Arlet,Bufo bufo,Juveniles,17/08/2017,,,17/12/2018,,4.587299228
PNP17 279,Arlet,Bufo bufo,Juveniles,17/08/2017,,,17/12/2018,,652.0901489
PNP17 280,Arlet,Bufo bufo,Juveniles,17/08/2017,,,17/12/2018,,0.679156482
PNP17 281,Arlet,Bufo bufo,Juveniles,17/08/2017,,,17/12/2018,,38.30570698
PNP17 282,Arlet,Bufo bufo,Juveniles,17/08/2017,,,17/12/2018,,1.014954448
